subjectID,stage,position,mean_angle,angle_sd,angle_variance
lo20,5,HEAD,78.40183270773362,3.792493023551381,14.383003333685897
lo20,6,HEAD,77.20992847785666,7.443693802490031,55.4085774252285
lo20,7,HEAD,63.3059747871592,13.197694766251637,174.17914714314585
lo20,1,PELVIS,65.37414222990988,0.5272523226840683,0.27799501177574487
lo20,2,PELVIS,66.49239083654543,0.4962045455366235,0.24621895101120708
lo20,3,PELVIS,66.74042684530286,0.5590912811475907,0.3125830606552542
lo20,4,PELVIS,67.10479815131428,0.4995193917688782,0.24951962275315004
lo20,5,PELVIS,66.89402616312653,0.4966548595404064,0.2466660495051008
lo20,6,PELVIS,68.31872262758453,0.6646199285501321,0.4417196494259827
lo20,7,PELVIS,67.8561649205261,0.6426177227013815,0.4129575375299096
lo20,1,TORSO,51.31249391552308,0.9822345324952122,0.96478467682608815
lo20,2,TORSO,52.77471121880877,1.2629375169027226,1.5950111716004145
lo20,3,TORSO,53.65901207184635,1.2228878117431339,1.4954546001099105
lo20,4,TORSO,53.64527143521313,1.2212693632825173,1.4914988576924855
lo20,5,TORSO,53.02134387673697,1.238051722325031,1.5327720671519753
lo20,6,TORSO,50.34288609271134,1.433965330101457,2.0562565679329805
lo20,7,TORSO,46.84191896680919,1.7620313662425293,3.1047545356225146
lo22,1,HEAD,75.00708319109258,3.4665964950597012,12.017291259560205
lo22,2,HEAD,71.70112598029888,3.7034422940453036,13.715484825323541
lo22,3,HEAD,77.0207540937155,4.57626480590029,20.94219957372162
lo22,4,HEAD,76.91372661492592,5.0216611422692115,25.21708062777652
lo22,5,HEAD,79.74181585196207,2.349235741174111,5.518908567609875
lo22,6,HEAD,73.18144157979361,4.862220177388407,23.64118505340295
lo22,7,HEAD,57.84271169931184,26.26584818976538,689.8947811278011
lo22,1,PELVIS,57.41920021131576,0.5868681303204052,0.34441420238576803
lo22,2,PELVIS,56.61134465487942,0.5705447500279838,0.3255213117844945
lo22,3,PELVIS,55.957419872886724,0.807899943826912,0.6527023192355276
lo22,4,PELVIS,56.28280080070844,0.703642380404888,0.4951125995018572
lo22,5,PELVIS,56.09367042689243,0.8043524703985949,0.6469828966363226
lo22,6,PELVIS,57.04944854175117,0.9502062627189125,0.902891941710243
lo22,7,PELVIS,57.192495132846325,1.2942805898916032,1.6751622453701567
lo22,1,TORSO,50.354942200138005,1.5408638431266048,2.37426138305489
lo22,2,TORSO,47.572011354445955,1.9721106043060743,3.88922023561647
lo22,3,TORSO,46.47013682954559,2.001494897407098,4.005981824346651
lo22,4,TORSO,45.94395108688773,1.8512322469166285,3.427060832023989
lo22,5,TORSO,45.27668765022995,1.9231700372732212,3.698582992265483
lo22,6,TORSO,45.13913129118496,1.9759170438871236,3.904248164323629
lo22,7,TORSO,43.001636739937666,2.22986613854806,4.972302995843236
lo27,1,HEAD,74.93836853685136,9.001866326504368,81.03359736025325
lo27,2,HEAD,79.7762651536166,4.748798216500787,22.551084501041053
lo27,3,HEAD,81.72975258400305,3.3525309018592155,11.239463447920965
lo27,4,HEAD,78.46164041125508,5.01518963599796,25.152127085021355
lo27,5,HEAD,78.40183270773362,3.792493023551381,14.383003333685897
lo27,6,HEAD,77.20992847785666,7.443693802490031,55.4085774252285
lo27,7,HEAD,63.3059747871592,13.197694766251637,174.17914714314585
lo27,1,PELVIS,65.37414222990988,0.5272523226840683,0.27799501177574487
lo27,2,PELVIS,66.49239083654543,0.4962045455366235,0.24621895101120708
lo27,3,PELVIS,66.74042684530286,0.5590912811475907,0.3125830606552542
lo27,4,PELVIS,67.10479815131428,0.4995193917688782,0.24951962275315004
lo27,5,PELVIS,66.89402616312653,0.4966548595404064,0.2466660495051008
lo27,6,PELVIS,68.31872262758453,0.6646199285501321,0.4417196494259827
lo27,7,PELVIS,67.8561649205261,0.6426177227013815,0.4129575375299096
lo27,1,TORSO,51.31249391552308,0.9822345324952122,0.96478467682608815
lo27,2,TORSO,52.77471121880877,1.2629375169027226,1.5950111716004145
lo27,3,TORSO,53.65901207184635,1.2228878117431339,1.4954546001099105
lo27,4,TORSO,53.64527143521313,1.2212693632825173,1.4914988576924855
lo27,5,TORSO,53.02134387673697,1.238051722325031,1.5327720671519753
lo27,6,TORSO,50.34288609271134,1.433965330101457,2.0562565679329805
lo27,7,TORSO,46.84191896680919,1.7620313662425293,3.1047545356225146
lo28,1,HEAD,72.960870938618,7.8636385439878,61.83681115049056
lo28,2,HEAD,63.741245278727675,15.212253877077424,231.41266802065715
lo28,3,HEAD,57.320040019383384,16.592518925180915,275.3116842824868
lo28,4,HEAD,60.65935803808899,14.694560539724334,215.9301094556235
lo28,5,HEAD,51.71714082336113,13.646761951731486,186.23411176722618
lo28,6,HEAD,54.59233076117524,15.644417473139635,244.7477980738767
lo28,7,HEAD,47.31009635397264,14.54291170416025,211.49628083500122
lo28,8,HEAD,46.427793650552516,19.022468315143744,361.85430080064765
lo28,1,PELVIS,65.22540087799544,0.6073408974551946,0.36886296572168126
lo28,2,PELVIS,66.23320190293981,0.8209190506851678,0.6739080877778371
lo28,3,PELVIS,67.59568031561743,0.5370877823569353,0.28846328595709075
lo28,4,PELVIS,67.9853397222456,0.4756962842532788,0.2262869548523762
lo28,5,PELVIS,68.08049452447807,0.4248957065167659,0.18053636141638163
lo28,6,PELVIS,67.87878887585522,0.4963726340138242,0.24638579179782188
lo28,7,PELVIS,67.96486343967122,0.5664032483329167,0.3208126397220797
lo28,8,PELVIS,67.49601115500941,0.6227809453990559,0.3878561059521418
lo28,1,TORSO,25.896843507757346,1.7164879675149483,2.9463309426235984
lo28,2,TORSO,24.52915540571885,1.6653528320460798,2.773400055203898
lo28,3,TORSO,24.52010033769493,1.396348237099101,1.949788399249767
lo28,4,TORSO,27.814197460916116,1.9098988271468889,3.6477135299370613
lo28,5,TORSO,27.661626062839495,1.057813234415406,1.118968838904383
lo28,6,TORSO,27.623517666078133,1.7822651241379954,3.176468972718624
lo28,7,TORSO,28.704650928762,1.7930763382753991,3.215122754883114
lo28,8,TORSO,26.282393981020814,2.410111400568879,5.808636963152083
lo32,1,HEAD,73.58598065885651,7.084156953575815,50.18527974289657
lo32,2,HEAD,76.73303946771414,7.39770869431498,54.726093925943445
lo32,3,HEAD,69.7401621850198,16.664284219331115,277.6983685426481
lo32,4,HEAD,74.43023914454685,8.386625556390781,70.33548822310698
lo32,5,HEAD,79.69515146310054,4.812496564627549,23.16012318455196
lo32,6,HEAD,72.73548533063841,8.27632524143955,68.4975595020894
lo32,7,HEAD,61.051756739393475,8.94455063242878,80.00498601608206
lo32,1,PELVIS,64.15039259339984,1.0466548279901489,1.095486328955088
lo32,2,PELVIS,65.87075522441968,0.3777822927969511,0.1427194607509213
lo32,3,PELVIS,65.39506938909703,0.5189588680934731,0.2693183067728589
lo32,4,PELVIS,64.91536203377382,0.8811981913434291,0.7765102524269307
lo32,5,PELVIS,64.24241042733755,0.8009901897809053,0.6415852841252507
lo32,6,PELVIS,63.12115804058441,1.0981198309201716,1.2058671630601465
lo32,7,PELVIS,60.50822631290447,0.9811068125848196,0.9625705777003443
lo32,1,TORSO,41.986133719090844,3.438024815411396,11.820014631384565
lo32,2,TORSO,42.38023322516652,2.607840046916906,6.800829710303569
lo32,3,TORSO,42.552705373335684,2.709677215537752,7.3423506124044255
lo32,4,TORSO,43.468552320692126,2.686937079735753,7.219630870458897
lo32,5,TORSO,39.608806427394164,3.2116506119580013,10.314699653290205
lo32,6,TORSO,38.637245817696396,3.262764282017302,10.645630760007881
lo32,7,TORSO,31.584172864245115,4.42567868132095,19.586631790298746
lo33,1,HEAD,64.51146745929285,19.23242881569016,369.8863181505892
lo33,2,HEAD,64.89132644585953,17.212222923264257,296.2606179601435
lo33,3,HEAD,69.0930500585567,16.95849791080276,287.5906513907015
lo33,4,HEAD,72.13796090113202,15.089697349839996,227.6989661097682
lo33,5,HEAD,71.42947899628508,15.706582193932073,246.69672421474405
lo33,1,PELVIS,60.85586564097405,0.37023238535857556,0.1370720191683008
lo33,2,PELVIS,61.64305930666611,0.5463745070340849,0.2985251019367392
lo33,3,PELVIS,60.78195854473805,0.5371187725101153,0.288496575782773
lo33,4,PELVIS,59.71392672146601,0.7122526982805402,0.5073039062079101
lo33,5,PELVIS,57.900555065482266,0.48172628808213697,0.232060216629394
lo33,1,TORSO,46.03538574385441,3.0189177531738975,9.113864400428533
lo33,2,TORSO,46.496823737717484,3.120531507822853,9.737716891315166
lo33,3,TORSO,45.88156301339791,2.482175455082441,6.1611949898137235
lo33,4,TORSO,45.73192188064213,2.071358958581895,4.2905279352974715
lo33,5,TORSO,44.04908909546695,2.473411671078904,6.117765294629337
lo34,1,HEAD,68.04406425896474,11.229121306265448,126.09316531082463
lo34,2,HEAD,70.18066712671029,7.343213964006723,53.92279132118333
lo34,3,HEAD,68.595753392117075,9.901515358047291,98.04000638564638
lo34,4,HEAD,72.91637942229099,6.524306833618951,42.566579659206944
lo34,5,HEAD,71.03676366075176,9.556506419201522,91.32681494023991
lo34,6,HEAD,60.532050108247404,17.99704059982556,323.89347035176957
lo34,7,HEAD,46.93396078321003,21.02643290675997,442.11088078247843
lo34,1,PELVIS,73.86544049118609,1.5318978479222838,2.3467110164689244
lo34,2,PELVIS,73.59496327672174,0.6589640303647117,0.4342335933145047
lo34,3,PELVIS,73.99785482861336,0.6868877233763062,0.471814744525085
lo34,4,PELVIS,72.47574498445883,1.0102927612360868,1.020691463406037
lo34,5,PELVIS,70.83576671071677,1.110978943227623,1.2342742122951658
lo34,6,PELVIS,67.86154094952401,2.575313132126691,6.632237728504188
lo34,7,PELVIS,64.67517315961167,1.4241338386627374,2.0281571904242637
lo34,1,TORSO,56.92018699056294,3.15454419586673,9.951149083676473
lo34,2,TORSO,57.01577888661144,3.0486655518515438,9.294361647046278
lo34,3,TORSO,55.76425993495197,2.7345579724801405,7.477807304854697
lo34,4,TORSO,54.27510220515948,2.926851265506374,8.566458330396262
lo34,5,TORSO,51.066710148810394,3.0080193308989482,9.048180295061757
lo34,6,TORSO,45.16929511510451,4.449494055909367,19.797997353572796
lo34,7,TORSO,35.229665971036354,2.810736873335517,7.90024177112792
lo38,1,HEAD,73.82313349937425,2.637172330650571,6.954677901548965
lo38,2,HEAD,71.76159336115315,1.7919073819804143,3.2109320655959026
